time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_taxi	arrivals_taxi	stuck_taxi	en-route_taxi
21:30:00	77400	265	74	0	335	265	74	0	335
21:35:00	77700	0	141	0	194	0	141	0	194
21:40:00	78000	0	79	0	115	0	79	0	115
21:45:00	78300	282	58	0	339	282	58	0	339
21:50:00	78600	0	113	0	226	0	113	0	226
21:55:00	78900	0	85	0	141	0	85	0	141
22:00:00	79200	254	68	0	327	254	68	0	327
22:05:00	79500	0	100	0	227	0	100	0	227
22:10:00	79800	0	79	0	148	0	79	0	148
22:15:00	80100	233	69	0	312	233	69	0	312
22:20:00	80400	0	112	0	200	0	112	0	200
22:25:00	80700	0	79	0	121	0	79	0	121
22:30:00	81000	233	60	0	294	233	60	0	294
22:35:00	81300	0	109	0	185	0	109	0	185
22:40:00	81600	0	68	0	117	0	68	0	117
22:45:00	81900	212	56	0	273	212	56	0	273
22:50:00	82200	0	99	0	174	0	99	0	174
22:55:00	82500	0	63	0	111	0	63	0	111
23:00:00	82800	173	40	0	244	173	40	0	244
23:05:00	83100	0	90	0	154	0	90	0	154
23:10:00	83400	0	61	0	93	0	61	0	93
23:15:00	83700	169	36	0	226	169	36	0	226
23:20:00	84000	0	79	0	147	0	79	0	147
23:25:00	84300	0	55	0	92	0	55	0	92
23:30:00	84600	163	43	0	212	163	43	0	212
23:35:00	84900	0	68	0	144	0	68	0	144
23:40:00	85200	0	51	0	93	0	51	0	93
23:45:00	85500	111	40	0	164	111	40	0	164
23:50:00	85800	0	48	0	116	0	48	0	116
23:55:00	86100	0	47	0	69	0	47	0	69
24:00:00	86400	0	20	0	49	0	20	0	49
24:05:00	86700	0	17	0	32	0	17	0	32
24:10:00	87000	0	19	0	13	0	19	0	13
24:15:00	87300	0	3	0	10	0	3	0	10
24:20:00	87600	0	8	0	2	0	8	0	2
24:25:00	87900	0	2	0	0	0	2	0	0
24:30:00	88200	0	0	0	0	0	0	0	0
24:35:00	88500	0	0	0	0	0	0	0	0
24:40:00	88800	0	0	0	0	0	0	0	0
24:45:00	89100	0	0	0	0	0	0	0	0
24:50:00	89400	0	0	0	0	0	0	0	0
24:55:00	89700	0	0	0	0	0	0	0	0
25:00:00	90000	0	0	0	0	0	0	0	0
25:05:00	90300	0	0	0	0	0	0	0	0
25:10:00	90600	0	0	0	0	0	0	0	0
25:15:00	90900	0	0	0	0	0	0	0	0
25:20:00	91200	0	0	0	0	0	0	0	0
25:25:00	91500	0	0	0	0	0	0	0	0
25:30:00	91800	0	0	0	0	0	0	0	0
25:35:00	92100	0	0	0	0	0	0	0	0
25:40:00	92400	0	0	0	0	0	0	0	0
25:45:00	92700	0	0	0	0	0	0	0	0
25:50:00	93000	0	0	0	0	0	0	0	0
25:55:00	93300	0	0	0	0	0	0	0	0
26:00:00	93600	0	0	0	0	0	0	0	0
26:05:00	93900	0	0	0	0	0	0	0	0
26:10:00	94200	0	0	0	0	0	0	0	0
26:15:00	94500	0	0	0	0	0	0	0	0
26:20:00	94800	0	0	0	0	0	0	0	0
26:25:00	95100	0	0	0	0	0	0	0	0
26:30:00	95400	0	0	0	0	0	0	0	0
26:35:00	95700	0	0	0	0	0	0	0	0
26:40:00	96000	0	0	0	0	0	0	0	0
26:45:00	96300	0	0	0	0	0	0	0	0
26:50:00	96600	0	0	0	0	0	0	0	0
26:55:00	96900	0	0	0	0	0	0	0	0
27:00:00	97200	0	0	0	0	0	0	0	0
27:05:00	97500	0	0	0	0	0	0	0	0
27:10:00	97800	0	0	0	0	0	0	0	0
27:15:00	98100	0	0	0	0	0	0	0	0
27:20:00	98400	0	0	0	0	0	0	0	0
27:25:00	98700	0	0	0	0	0	0	0	0
27:30:00	99000	0	0	0	0	0	0	0	0
27:35:00	99300	0	0	0	0	0	0	0	0
27:40:00	99600	0	0	0	0	0	0	0	0
27:45:00	99900	0	0	0	0	0	0	0	0
27:50:00	100200	0	0	0	0	0	0	0	0
27:55:00	100500	0	0	0	0	0	0	0	0
28:00:00	100800	0	0	0	0	0	0	0	0
28:05:00	101100	0	0	0	0	0	0	0	0
28:10:00	101400	0	0	0	0	0	0	0	0
28:15:00	101700	0	0	0	0	0	0	0	0
28:20:00	102000	0	0	0	0	0	0	0	0
28:25:00	102300	0	0	0	0	0	0	0	0
28:30:00	102600	0	0	0	0	0	0	0	0
28:35:00	102900	0	0	0	0	0	0	0	0
28:40:00	103200	0	0	0	0	0	0	0	0
28:45:00	103500	0	0	0	0	0	0	0	0
28:50:00	103800	0	0	0	0	0	0	0	0
28:55:00	104100	0	0	0	0	0	0	0	0
29:00:00	104400	0	0	0	0	0	0	0	0
29:05:00	104700	0	0	0	0	0	0	0	0
29:10:00	105000	0	0	0	0	0	0	0	0
29:15:00	105300	0	0	0	0	0	0	0	0
29:20:00	105600	0	0	0	0	0	0	0	0
29:25:00	105900	0	0	0	0	0	0	0	0
29:30:00	106200	0	0	0	0	0	0	0	0
29:35:00	106500	0	0	0	0	0	0	0	0
29:40:00	106800	0	0	0	0	0	0	0	0
29:45:00	107100	0	0	0	0	0	0	0	0
29:50:00	107400	0	0	0	0	0	0	0	0
29:55:00	107700	0	0	0	0	0	0	0	0
30:00:00	108000	0	0	0	0	0	0	0	0
30:05:00	108300	0	0	0	0	0	0	0	0
